time,x,y,z
1.75689e+09,-1.97629,-1.5947,0
1.75689e+09,-2.0094,-1.55099,0
1.75689e+09,-1.98199,-1.56037,0
1.75689e+09,-2.05462,-1.61728,0
1.75689e+09,-2.0048,-1.59983,0
1.75689e+09,-1.96792,-1.57562,0
1.75689e+09,-2.00074,-1.603,0
1.75689e+09,-2.03546,-1.59489,0
1.75689e+09,-2.04039,-1.62725,0
1.75689e+09,-1.99274,-1.58826,0
1.75689e+09,-2.02734,-1.62539,0
1.75689e+09,-2.00641,-1.61208,0
1.75689e+09,-2.03341,-1.62388,0
1.75689e+09,-1.99243,-1.57792,0
1.75689e+09,-2.02196,-1.62916,0
1.75689e+09,-2.01924,-1.60609,0
1.75689e+09,-2.00075,-1.58464,0
1.75689e+09,-1.98867,-1.59797,0
1.75689e+09,-2.07235,-1.63458,0
1.75689e+09,-2.02199,-1.58971,0
1.75689e+09,-2.02152,-1.60904,0
1.75689e+09,-1.96793,-1.60599,0
1.75689e+09,-1.96248,-1.60828,0
1.75689e+09,-1.90972,-1.57312,0
1.75689e+09,-1.88284,-1.56607,0
1.75689e+09,-1.90289,-1.56955,0
1.75689e+09,-1.83574,-1.54868,0
1.75689e+09,-1.85837,-1.57937,0
1.75689e+09,-1.79203,-1.57779,0
1.75689e+09,-1.83409,-1.62157,0
1.75689e+09,-1.75072,-1.60259,0
1.75689e+09,-1.74518,-1.60769,0
1.75689e+09,-1.68995,-1.55628,0
1.75689e+09,-1.70693,-1.58667,0
1.75689e+09,-1.64748,-1.57936,0
1.75689e+09,-1.59725,-1.56788,0
1.75689e+09,-1.61584,-1.57632,0
1.75689e+09,-1.59057,-1.58693,0
1.75689e+09,-1.56516,-1.60864,0
1.75689e+09,-1.55662,-1.60762,0
1.75689e+09,-1.49741,-1.61065,0
1.75689e+09,-1.51017,-1.59519,0
1.75689e+09,-1.43668,-1.58137,0
1.75689e+09,-1.45815,-1.58867,0
1.75689e+09,-1.42778,-1.60627,0
1.75689e+09,-1.44234,-1.58913,0
1.75689e+09,-1.46161,-1.62791,0
1.75689e+09,-1.46801,-1.59348,0
1.75689e+09,-1.47865,-1.57385,0
1.75689e+09,-1.49911,-1.58986,0
1.75689e+09,-1.49191,-1.59955,0
1.75689e+09,-1.53505,-1.57366,0
1.75689e+09,-1.53867,-1.56257,0
1.75689e+09,-1.54575,-1.58718,0
1.75689e+09,-1.57103,-1.57569,0
1.75689e+09,-1.59449,-1.55627,0
1.75689e+09,-1.57342,-1.50336,0
1.75689e+09,-1.68758,-1.53726,0
1.75689e+09,-1.67277,-1.5149,0
1.75689e+09,-1.6446,-1.49212,0
1.75689e+09,-1.64081,-1.45515,0
1.75689e+09,-1.67578,-1.47701,0
1.75689e+09,-1.66474,-1.45859,0
1.75689e+09,-1.60101,-1.41044,0
1.75689e+09,-1.65373,-1.42427,0
1.75689e+09,-1.65126,-1.4481,0
1.75689e+09,-1.61224,-1.40378,0
1.75689e+09,-1.6005,-1.41366,0
1.75689e+09,-1.58753,-1.39956,0
1.75689e+09,-1.60994,-1.36908,0
1.75689e+09,-1.61394,-1.38308,0
1.75689e+09,-1.58482,-1.38269,0
1.75689e+09,-1.61845,-1.38892,0
1.75689e+09,-1.58172,-1.35673,0
1.75689e+09,-1.59452,-1.34839,0
